variant,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_16,43,0.5112540192926045,0.5621482952664681,0.6886887680685403,0.24707928327871306,0.1833207607269287,0.890504777431488
search_16,44,0.5466237942122186,0.579237007613373,0.6866551750595568,0.24541871008706287,0.15255624055862427,0.9103443026542664
search_17,42,0.5819935691318328,0.6192485931810658,0.6678810138389778,0.23779189572856227,0.28115367889404297,0.7348331809043884
search_17,43,0.49517684887459806,0.5576381992717643,0.6977756471263434,0.25100150472106153,0.1341642439365387,0.9138507843017578
search_17,44,0.572347266881029,0.5987669645812644,0.684936330853507,0.24397854597288574,0.10119616985321045,0.9565335512161255
search_18,42,0.5659163987138264,0.5887537239324727,0.6857438466568061,0.24616855535265797,0.20504292845726013,0.8338369727134705
search_18,43,0.5916398713826366,0.63480635551142,0.6647623319589031,0.23607302996305188,0.1771036982536316,0.8413640260696411
search_18,44,0.5209003215434084,0.5679410791128765,0.6854240606453318,0.24597611980248052,0.17780974507331848,0.8396327495574951
search_19,42,0.5466237942122186,0.5901605428666006,0.6909421601561658,0.2480647099705428,0.16376397013664246,0.8291049599647522
search_19,43,0.5337620578778135,0.5567072161535915,0.7012507824956923,0.2526189020862821,0.20092904567718506,0.8836389780044556
search_19,44,0.594855305466238,0.6096491228070176,0.682875240862325,0.24407823650879135,0.16372552514076233,0.8034704327583313
search_20,42,0.6141479099678456,0.6304203905991395,0.6778405077348776,0.24255940810017337,0.1975647509098053,0.7751595973968506
search_20,43,0.6302250803858521,0.6457298907646475,0.6628622244629622,0.23536069428653905,0.18688151240348816,0.7850943803787231
search_20,44,0.45980707395498394,0.538604766633565,0.6777631583458016,0.2425833643765582,0.19213473796844482,0.7809491753578186
search_21,42,0.6109324758842444,0.6178210857332008,0.6808991727031649,0.2430819241834352,0.15332898497581482,0.9011295437812805
search_21,43,0.6077170418006431,0.5942154915590864,0.6972059648257406,0.2512982545381041,0.18654122948646545,0.8740225434303284
