variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_04,recent_79,79,40,0.5063291139240507,0.5688311688311689,0.6959890124034994,0.2508149067742526,0.2029429872830709,0.8443820476531982
search_05,all_311,311,186,0.5980707395498392,0.627523998675935,0.6702950031357643,0.23847584884797962,0.20433510343233743,0.8416605591773987
search_05,development_232,232,145,0.625,0.6621330360460795,0.6569507081994373,0.23211095377188495,0.23757205406824747,0.7917229731877645
search_05,recent_79,79,41,0.5189873417721519,0.5590909090909091,0.7094833123158639,0.25716769261575123,0.20433510343233743,0.8416605591773987
search_06,all_311,311,192,0.617363344051447,0.6274205561072493,0.6757507797275034,0.24090093560281678,0.14944138129552206,0.8516206542650858
search_06,development_232,232,150,0.646551724137931,0.663730955035303,0.6627861367514475,0.23504266528503434,0.20636069774627686,0.7647000948588053
search_06,recent_79,79,42,0.5316455696202531,0.5616883116883117,0.7138241616318701,0.2581049699537729,0.14944138129552206,0.8516206542650858
search_07,all_311,311,188,0.6045016077170418,0.622372558755379,0.677776093581802,0.24182963266522955,0.17748780051867166,0.8504446744918823
search_07,development_232,232,142,0.6120689655172413,0.6461538461538463,0.6660678183185633,0.23665524018802137,0.17748780051867166,0.7886137763659159
search_07,recent_79,79,46,0.5822784810126582,0.5724025974025975,0.7121598892915666,0.2570253169020942,0.19221078356107077,0.8504446744918823
search_08,all_311,311,184,0.5916398713826366,0.6145316120489904,0.6776557080940964,0.24184487188939197,0.16162937879562378,0.888804018497467
search_08,development_232,232,146,0.6293103448275862,0.6452619843924191,0.6697871308178409,0.23834754670961686,0.22578434149424234,0.7581464648246765
search_08,recent_79,79,38,0.4810126582278481,0.5707792207792208,0.700763428702847,0.252115497733795,0.16162937879562378,0.888804018497467
search_09,all_311,311,185,0.594855305466238,0.6223104932141674,0.6757319628622019,0.24109496313702397,0.19306668639183044,0.8394522070884705
search_09,development_232,232,141,0.6077586206896551,0.6558156819026384,0.6674587755042978,0.2371132173450873,0.19801688194274902,0.7899887363115946
search_09,recent_79,79,44,0.5569620253164557,0.5636363636363636,0.7000279054828822,0.25278819128549623,0.19306668639183044,0.8394522070884705
search_10,all_311,311,183,0.5884244372990354,0.6276067527308837,0.6722403324394957,0.23937086115874537,0.18648213148117065,0.865691085656484
search_10,development_232,232,141,0.6077586206896551,0.662876254180602,0.6604146115872914,0.23384053788001927,0.20324204365412393,0.794247587521871
search_10,recent_79,79,42,0.5316455696202531,0.5603896103896103,0.7069690316510326,0.2556118105342449,0.18648213148117065,0.865691085656484
search_11,all_311,311,185,0.594855305466238,0.6150695134061568,0.674588196726935,0.24060634966082933,0.20504385232925415,0.8006176352500916
search_11,development_232,232,144,0.6206896551724138,0.6462653288740245,0.6609932622141544,0.23416116359906733,0.20504385232925415,0.7579032182693481
search_11,recent_79,79,41,0.5189873417721519,0.5542207792207793,0.7145125613720623,0.25953398467764927,0.23819419741630554,0.8006176352500916
search_12,all_311,311,184,0.5916398713826366,0.617717643164515,0.6787967480635869,0.24191651614735613,0.18590137362480164,0.8913525342941284
search_12,development_232,232,143,0.6163793103448276,0.6518766257896693,0.6625740402803534,0.23493394099340148,0.1987139085928599,0.7779379089673361
search_12,recent_79,79,41,0.5189873417721519,0.5532467532467532,0.7264381177561207,0.2624223064728939,0.18590137362480164,0.8913525342941284
search_13,all_311,311,185,0.594855305466238,0.6192899702085403,0.6770680595980504,0.2411683895883427,0.12174215912818909,0.9052905241648356
search_13,development_232,232,143,0.6163793103448276,0.646079524340394,0.6649070385894259,0.23577539493084962,0.18048725525538126,0.8046117822329203
search_13,recent_79,79,42,0.5316455696202531,0.5551948051948051,0.7127814377499606,0.2570060447850309,0.12174215912818909,0.9052905241648356
search_14,all_311,311,180,0.5787781350482315,0.6134971863621317,0.6800649985103373,0.2431494594467787,0.09975627064704895,0.8186626434326172
search_14,development_232,232,142,0.6120689655172413,0.6432924563359346,0.6728567327216483,0.23966040161403787,0.09975627064704895,0.7912680705388387
search_14,recent_79,79,38,0.4810126582278481,0.5594155844155844,0.70123357652269,0.2533958064998911,0.22371130188306174,0.8186626434326172
search_15,all_311,311,177,0.5691318327974276,0.5895812644819596,0.6825911134656437,0.24449737962194684,0.20838495095570883,0.8226389090220133
search_15,development_232,232,135,0.5818965517241379,0.6108509847640283,0.6731489424610153,0.24020688492297845,0.24453585346539816,0.7864603201548258
search_15,recent_79,79,42,0.5316455696202531,0.5571428571428572,0.710320020719742,0.2570973134214492,0.20838495095570883,0.8226389090220133
search_16,all_311,311,179,0.5755627009646302,0.6022426348891096,0.6829233140771315,0.2439055099663966,0.17834501465161642,0.9031493663787842
search_16,development_232,232,137,0.5905172413793104,0.6237086584912672,0.6761596862536499,0.24125378013107174,0.2729748785495758,0.8141907453536987
search_16,recent_79,79,42,0.5316455696202531,0.5766233766233767,0.7027861198372299,0.2516928684701354,0.17834501465161642,0.9031493663787842
search_17,all_311,311,180,0.5787781350482315,0.610890433631248,0.6767286983765636,0.24155954342901195,0.18915958205858865,0.868405838807424
search_17,development_232,232,139,0.5991379310344828,0.6342623560014865,0.6706962760523955,0.23897129622910443,0.22141270836194357,0.8269817034403483
search_17,recent_79,79,41,0.5189873417721519,0.5746753246753247,0.6944441664677917,0.24916047191481644,0.18915958205858865,0.868405838807424
search_18,all_311,311,176,0.5659163987138264,0.6128351539225422,0.6758728877828312,0.24141954234992755,0.19858221213022867,0.8382779161135355
search_18,development_232,232,136,0.5862068965517241,0.6309178743961352,0.6697872650703753,0.23845589734427283,0.19858221213022867,0.7662517031033834
search_18,recent_79,79,40,0.5063291139240507,0.5785714285714285,0.6937445899257396,0.2501229048981793,0.20170674721399942,0.8382779161135355
search_19,all_311,311,182,0.5852090032154341,0.598953161204899,0.688898636273775,0.24709058024092082,0.21117871006329855,0.8148999015490214
search_19,development_232,232,138,0.5948275862068966,0.6222222222222223,0.678217679311249,0.24213966854800323,0.22031402587890625,0.8072150349617004
search_19,recent_79,79,44,0.5569620253164557,0.5487012987012987,0.7202654972270159,0.26162996647834974,0.21117871006329855,0.8148999015490214
search_20,all_311,311,194,0.6237942122186495,0.6367510758027143,0.67145806352422,0.23944770709093663,0.19219366709391275,0.7804010510444641
search_20,development_232,232,153,0.6594827586206896,0.6862876254180601,0.6690591597694454,0.23809097806593477,0.35322465499242145,0.599598209063212
