_key,league,datacompleteness,reason
LVP SL|LOLTMNT03_189919,LVP SL,complete,eligible
NLC|LOLTMNT06_96773,NLC,complete,eligible
LIT|LOLTMNT06_96775,LIT,complete,eligible
TCL|LOLTMNT06_95755,TCL,complete,eligible
LFL|LOLTMNT06_95764,LFL,complete,eligible
HW|LOLTMNT03_190141,HW,complete,eligible
LVP SL|LOLTMNT03_190143,LVP SL,complete,eligible
LIT|LOLTMNT06_95768,LIT,complete,eligible
NLC|LOLTMNT06_96792,NLC,complete,eligible
HW|LOLTMNT03_190157,HW,complete,eligible
LFL|LOLTMNT06_96794,LFL,complete,eligible
LVP SL|LOLTMNT03_190159,LVP SL,complete,eligible
NLC|LOLTMNT06_95772,NLC,complete,eligible
HW|LOLTMNT03_189945,HW,complete,eligible
NLC|LOLTMNT06_95773,NLC,complete,eligible
LVP SL|LOLTMNT03_189948,LVP SL,complete,eligible
LCKC|LOLTMNT03_190195,LCKC,complete,eligible
LCKC|LOLTMNT03_190194,LCKC,complete,eligible
LCKC|LOLTMNT03_190201,LCKC,complete,eligible
LCKC|LOLTMNT03_190204,LCKC,complete,eligible
LCKC|LOLTMNT03_189997,LCKC,complete,eligible
LCK|LOLTMNT03_191023,LCK,complete,eligible
LCK|LOLTMNT03_191028,LCK,complete,eligible
LPL|11726-11726_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_191030,LCK,complete,eligible
LCP|LOLTMNT03_191042,LCP,complete,eligible
LPL|11726-11726_game_2,LPL,partial,not_complete
LCK|LOLTMNT03_190264,LCK,complete,eligible
LCP|LOLTMNT03_190272,LCP,complete,eligible
LPL|11726-11726_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_191065,LCK,complete,eligible
LCP|LOLTMNT03_191076,LCP,complete,eligible
LPL|11726-11726_game_4,LPL,partial,not_complete
LCK|LOLTMNT03_191077,LCK,complete,eligible
LCP|LOLTMNT03_191114,LCP,complete,eligible
TCL|LOLTMNT06_95782,TCL,complete,eligible
LCP|LOLTMNT03_191124,LCP,complete,eligible
TCL|LOLTMNT06_96811,TCL,complete,eligible
HW|LOLTMNT01_192226,HW,complete,eligible
TCL|LOLTMNT06_95794,TCL,complete,eligible
LFL|LOLTMNT06_96823,LFL,complete,eligible
LIT|LOLTMNT06_95802,LIT,complete,eligible
NLC|LOLTMNT06_96829,NLC,complete,eligible
HW|LOLTMNT01_192236,HW,complete,eligible
TCL|LOLTMNT06_96834,TCL,complete,eligible
HW|LOLTMNT01_191260,HW,complete,eligible
LIT|LOLTMNT06_95808,LIT,complete,eligible
LFL|LOLTMNT06_96840,LFL,complete,eligible
NLC|LOLTMNT06_96841,NLC,complete,eligible
LIT|LOLTMNT06_96848,LIT,complete,eligible
HW|LOLTMNT01_192294,HW,complete,eligible
LFL|LOLTMNT06_96849,LFL,complete,eligible
NLC|LOLTMNT06_95811,NLC,complete,eligible
HW|LOLTMNT01_191298,HW,complete,eligible
LFL|LOLTMNT06_96854,LFL,complete,eligible
LPL|11727-11727_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_191178,LCK,complete,eligible
LPL|11727-11727_game_2,LPL,partial,not_complete
LCK|LOLTMNT03_191179,LCK,complete,eligible
LJL|LOLTMNT01_192462,LJL,complete,eligible
LJL|LOLTMNT01_192465,LJL,complete,missing_player_id
LPL|11727-11727_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_190416,LCK,complete,eligible
LJL|LOLTMNT01_192508,LJL,complete,missing_player_id
LJL|LOLTMNT01_192507,LJL,complete,missing_player_id
LJL|LOLTMNT01_191475,LJL,complete,missing_player_id
LJL|LOLTMNT01_192511,LJL,complete,missing_player_id
LJL|LOLTMNT01_192517,LJL,complete,eligible
LJL|LOLTMNT01_191488,LJL,complete,missing_player_id
LJL|LOLTMNT01_191492,LJL,complete,missing_player_id
LJL|LOLTMNT01_192522,LJL,complete,missing_player_id
LJL|LOLTMNT01_192526,LJL,complete,eligible
LCK|LOLTMNT03_190434,LCK,complete,eligible
LPL|11728-11728_game_1,LPL,partial,not_complete
LJL|LOLTMNT01_192524,LJL,complete,missing_player_id
LJL|LOLTMNT01_192528,LJL,complete,missing_player_id
LJL|LOLTMNT01_192530,LJL,complete,missing_player_id
LCK|LOLTMNT03_190436,LCK,complete,eligible
LCP|LOLTMNT01_191513,LCP,complete,eligible
LPL|11728-11728_game_2,LPL,partial,not_complete
